Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
10/20/2016,Credit card,,Other fee,,"Since i dont use my citi thankyou premier card much, i decided to downgrade to citi double cash back card to avoid the annual fee. I contacted citi and asked to downgrade my card. They did it and told me that they would remove the annual fee since there is no annual fee for the new card. After 1-2 weeks later, I found out that the fee is still there and called them again, asking to remove. They told me they would do it. Now, it has been more than a month, they still did not remove it yet. They made me have to pay it.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,606XX,,Consent provided,Web,10/20/2016,Closed with monetary relief,Yes,No,2168327
1/19/2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,U.S. BANCORP,CA,90255,,N/A,Web,1/19/2015,Closed with explanation,Yes,No,1198500
11/8/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Ditech Financial LLC,CA,95337,,N/A,Web,11/8/2013,Closed with explanation,Yes,No,591948
3/11/2014,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",FL,33125,,N/A,Postal mail,3/14/2014,Closed with explanation,Yes,No,759395
6/5/2012,Mortgage,Other mortgage,Other,,,,HSBC NORTH AMERICA HOLDINGS INC.,FL,33071,,N/A,Postal mail,6/11/2012,Closed with explanation,Yes,No,95648
7/11/2016,Debt collection,Credit card,Communication tactics,Threatened to take legal action,"They call multiple times even when told not to call, when they call they always have someone else call and say they are from a different department, they get loud over the phone and very rude, threatened to take money from my bank and work even though I had n't received any paper work on a court issue.",,"National Credit Adjusters, LLC",CO,801XX,,Consent provided,Web,7/11/2016,Closed with explanation,Yes,No,2007296
11/10/2016,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CO,80022,,N/A,Postal mail,11/14/2016,Closed with explanation,Yes,No,2203253
12/24/2016,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,,,"TIAA, FSB",CO,80226,,Consent not provided,Web,12/24/2016,Closed with explanation,No,No,2263435
10/17/2016,Credit reporting,,Incorrect information on credit report,Public record,"i wrote to the CRA 'S that there were several bankruptcy cases on my report and that they were not accurate and should verified and removed, they responded with they have been verified i wrote back and asked the method of verification and who they corresponded with, they wrote back we have told you we verified the items and that i should contact the bankruptcy court for more info so i wrote to the court they replied with dear sir we DO NOT REPORT TO THE CREDIT BUREAU AND WE DO NOT SUPPLY social security numbers to any agency, i then wrote back to CRA and sent a copy of the letter and requested that they remove this info as it has not been verified XXXX removed it immediately XXXX AND EXPERIAN both replied we have verified thru a 3rd party who reports public records i wrote back explained to them that i was seeking a attorney to fight this further i explain to them that who ever is reporting to you i have a right to know who they are and that they should be on my report so i can address them properly if they are furnishing information furthermore i did not give them permission to give out my social security number XXXX need to know who they are what is the furnisher information they replied the NORTHERN DISTRICT BANKRUPTCY COURT so i went down to XXXX XXXX XXXX in XXXX Texas and went into court and spoke with a clerk asked if they were a customer of the CRA 'S she said no i also asked her if they verify information when the CRA 'S send those request she said sir we have ABSOLUTELY NO DEALINGS WETHER DIRECTLY OR IN DIRECTLY THE CRA 'S can pull info from companies like XXXX and get this information i bowed her my letter from CRA 'S said that they verified information with your office she said not true we do n't do that and we certainly are not violating any federal laws i will give you a copy of the same form we sent you i asked well can you call them to tell them this she said we ca n't do that and we DONT correspond with them Period here is your letter i then sent this to the CRA 'S for the 4 time and asked they remove this unverified information Experian called me and told me that they were re investigating the case 1 hour later they removed XXXX perfectly good accounts from my report i called and asked why they said they did n't come in under your social i said mam they are credit cards that belong to my father i am authorized user she said thats illegal you need to give me his name i will contact him i said mam you have his information she said he has to verify that he placed you on his cards then we will put you back on i said really even though its illegal she said she had to transfer me to a sup visor that never answered the phone i have did everything they have asked me to DO and they are still violating the law with no fear of any action being taken",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,752XX,Servicemember,Consent provided,Web,10/19/2016,Closed with explanation,Yes,No,2163847
1/5/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94513,,N/A,Web,1/6/2012,Closed without relief,Yes,Yes,10001
11/23/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"Caliber Home Loans, Inc.",,,,N/A,Referral,11/30/2015,Closed with explanation,Yes,No,1667710
6/12/2014,Credit reporting,,Incorrect information on credit report,Information is not mine,,,DISCOVER BANK,AR,71675,,N/A,Web,6/16/2014,Closed with non-monetary relief,Yes,No,892123
,,,,,,,,,,,,,,,,,
6/13/2014,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,"Enhanced Acquisitions, LLC",AZ,85015,,N/A,Web,6/13/2014,Closed with explanation,Yes,No,894049
5/28/2014,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,19082,,N/A,Postal mail,6/6/2014,Closed with explanation,Yes,No,869836
2/28/2017,Student loan,Non-federal student loan,Getting a loan,Qualify for a better loan than offered,,,"Navient Solutions, LLC.",NJ,7840,,Consent not provided,Web,2/28/2017,Closed with explanation,Yes,No,2364581
3/4/2017,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ditech Financial LLC,FL,342XX,,N/A,Referral,3/4/2017,Closed with explanation,Yes,No,2371656
3/26/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,FROST BANK,TX,78237,,N/A,Referral,5/16/2013,Closed,Yes,Yes,364545
3/4/2017,Bank account or service,Savings account,Deposits and withdrawals,,,,"CITIZENS FINANCIAL GROUP, INC.",PA,17602,,Consent not provided,Web,3/4/2017,Closed with explanation,Yes,No,2371577
5/14/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,Experian Information Solutions Inc.,FL,33774,,N/A,Postal mail,6/11/2015,Closed with explanation,Yes,No,1375858
5/20/2015,Credit reporting,,Incorrect information on credit report,Personal information,,Company chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",DC,20011,Older American,N/A,Postal mail,5/26/2015,Closed with explanation,Yes,Yes,1384097
,,,,,,,,,,,,,,,,,
3/5/2017,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,,,"Navient Solutions, LLC.",SC,29803,,Consent not provided,Web,3/5/2017,Closed with explanation,Yes,No,2371929
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4/22/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"CITIBANK, N.A.",CA,94618,,N/A,Referral,4/24/2015,Closed with non-monetary relief,Yes,No,1342251
4/25/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,,,"Navient Solutions, LLC.",KS,67218,,Consent not provided,Web,5/9/2017,Closed with explanation,Yes,N/A,2465562
8/27/2014,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,CAPITAL ONE FINANCIAL CORPORATION,LA,70116,,N/A,Referral,9/2/2014,Closed with explanation,Yes,No,1003742
,,,,,,,,,,,,,,,,,
11/4/2012,Credit card,,Application processing delay,,,,"CITIBANK, N.A.",NC,28205,,N/A,Web,11/5/2012,Closed with non-monetary relief,Yes,No,186440
12/27/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SELECT PORTFOLIO SERVICING, INC.",GA,30300,,N/A,Referral,12/30/2013,Closed with explanation,Yes,No,647126
2/9/2017,Credit reporting,,Incorrect information on credit report,Account status,"I have consistently disputed my account status with XXXX AND EQUIFAX AND XXXX, but my issue still have n't been revolved. It is showing that I have missed XXXX payments and that is incorrect. I just talked to XXXX on XXXX/XXXX/2017 at XXXX and he even stated that was not accurate, but there was nothing he can do. I do n't think that is fair to me because, it is affecting my credit score.",,"EQUIFAX, INC.",TN,381XX,,Consent provided,Web,2/9/2017,Closed with explanation,Yes,No,2335315
2/28/2017,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,OLD NATIONAL BANK,WI,53711,,N/A,Postal mail,3/6/2017,Closed with explanation,Yes,No,2363830
4/19/2017,Consumer Loan,Vehicle loan,Shopping for a loan or lease,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,CarFinance Capital LLC,WA,98272,,Consent not provided,Web,4/19/2017,Closed with explanation,Yes,No,2443729
5/3/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,93012,,N/A,Web,5/3/2013,Closed with explanation,Yes,No,398369
7/24/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Threatened to sue on too old debt,,,"CITIBANK, N.A.",FL,34420,Older American,N/A,Web,7/24/2014,Closed with explanation,Yes,No,952954
9/9/2015,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,NY,10977,,N/A,Referral,9/15/2015,Closed with monetary relief,Yes,No,1556382
2/13/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,,"Navient Solutions, LLC.",WA,98580,,N/A,Referral,2/16/2017,Closed with explanation,Yes,No,2341616
9/17/2014,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,"EQUIFAX, INC.",MA,2052,,N/A,Web,9/17/2014,Closed with non-monetary relief,Yes,No,1032188
4/18/2017,Credit card,,Other fee,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,CA,93940,Servicemember,Consent not provided,Web,4/18/2017,Closed with explanation,Yes,No,2439723
1/11/2014,Credit reporting,,Incorrect information on credit report,Public record,,,Experian Information Solutions Inc.,TX,78240,,N/A,Web,1/11/2014,Closed with explanation,Yes,No,664509
2/4/2013,Student loan,Non-federal student loan,Repaying your loan,,,,WELLS FARGO & COMPANY,CA,95819,,N/A,Web,2/5/2013,Closed,Yes,No,296040
1/12/2013,Credit card,,Identity theft / Fraud / Embezzlement,,,,"CITIBANK, N.A.",TN,38125,,N/A,Postal mail,3/1/2013,Closed with monetary relief,Yes,No,229699
11/14/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,Collection Bureau of America Ltd.,TX,75202,,N/A,Web,12/3/2013,Closed with explanation,Yes,No,598445
,,,,,,,,,,,,,,,,,
3/18/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,HSBC NORTH AMERICA HOLDINGS INC.,OH,44060,,N/A,Referral,3/19/2013,Closed with explanation,Yes,Yes,358859
,,,,,,,,,,,,,,,,,
6/8/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Diversified Consultants, Inc.",NJ,7631,,N/A,Postal mail,6/19/2016,Closed with explanation,Yes,No,1960269
10/21/2014,Debt collection,Federal student loan,Taking/threatening an illegal action,Attempted to/Collected exempt funds,,,"Account Control Technology, Inc.",PA,17018,,N/A,Web,11/28/2014,Closed with non-monetary relief,Yes,No,1080360
12/1/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,TX,77095,,N/A,Web,12/1/2014,Closed with explanation,Yes,No,1137015
3/27/2017,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,"EQUIFAX, INC.",IL,60417,Older American,Consent not provided,Web,3/27/2017,Closed with explanation,Yes,No,2406619
,,,,,,,,,,,,,,,,,
2/12/2014,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77546,Servicemember,N/A,Web,2/14/2014,Closed with explanation,Yes,No,714226
12/12/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,CAPITAL ONE FINANCIAL CORPORATION,VA,22039,,N/A,Referral,12/15/2014,Closed with explanation,Yes,No,1154481
9/24/2013,Consumer Loan,Personal line of credit,Managing the line of credit,,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",NY,11003,,N/A,Postal mail,12/24/2013,Closed with explanation,Yes,No,541252
5/28/2013,Student loan,Non-federal student loan,Repaying your loan,,,,"Navient Solutions, LLC.",DC,20001,Older American,N/A,Web,5/30/2013,Closed with non-monetary relief,Yes,No,418456
,,,,,,,,,,,,,,,,,
3/2/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NM,87507,,N/A,Referral,3/11/2016,Closed with explanation,Yes,No,1813777
,,,,,,,,,,,,,,,,,
3/17/2014,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMORGAN CHASE & CO.,CA,94015,,N/A,Referral,3/20/2014,Closed with explanation,Yes,No,763435
11/6/2016,Credit card,,Payoff process,,"My closing agent mailed a check to payoff my CITI credit card on XXXX for {$2600.00} the check was cashed on XXXX by CITI, but as of today CITI still shows that my credit card have not been paid off. They are charging me late fees and reducing my credit line because of this issue.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",GA,300XX,,Consent provided,Web,11/6/2016,Closed with non-monetary relief,Yes,No,2196794
11/3/2016,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TN,38002,,Consent not provided,Web,11/7/2016,Closed with explanation,Yes,No,2192671
4/21/2017,Credit card,,Billing disputes,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,94805,Older American,N/A,Fax,4/21/2017,Closed with explanation,Yes,No,2447149
8/21/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,WELLS FARGO & COMPANY,MA,2576,,N/A,Phone,8/23/2013,Closed with explanation,Yes,Yes,499231
4/3/2017,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Telerecovery Corporation,LA,70560,Servicemember,Consent not provided,Web,4/3/2017,Closed with explanation,No,No,2417259
10/29/2014,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,,,"Navient Solutions, LLC.",GA,30312,,N/A,Web,10/29/2014,Closed with explanation,Yes,No,1091510
11/4/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,32082,,N/A,Web,11/4/2013,Closed with explanation,Yes,Yes,585381
1/7/2013,Credit card,,Cash advance fee,,,,"CITIBANK, N.A.",MD,21210,,N/A,Web,1/8/2013,Closed with monetary relief,Yes,No,223997
1/15/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,JPMORGAN CHASE & CO.,OR,97338,,N/A,Phone,1/17/2013,Closed with monetary relief,Yes,No,236026
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4/23/2015,Mortgage,Reverse mortgage,"Loan servicing, payments, escrow account",,"For more than XXXX days, the family of XXXX XXXX, through the Administrator of the estate, has been trying to get the HUD Redemption payoff for her home. Freedom Financial is the lender is intentionally stalling in order to avoid or stop the estate from purchasing the home.",,"CIT BANK, NATIONAL ASSOCIATION",GA,300XX,,Consent provided,Web,5/20/2015,Closed with explanation,No,No,1344920
3/16/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Threatened to take legal action,,,"Coastline Financial Resources, LLC",,,,N/A,Phone,4/29/2015,Closed with explanation,No,No,1284877
,,,,,,,,,,,,,,,,,
10/1/2014,Debt collection,Mortgage,Communication tactics,Threatened to take legal action,,,PNC Bank N.A.,MI,49045,Servicemember,N/A,Web,10/1/2014,Closed with explanation,Yes,Yes,1054091
,,,,,,,,,,,,,,,,,
7/5/2016,Credit card,,Closing/Cancelling account,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,60558,Older American,Consent not provided,Web,7/8/2016,Closed with explanation,Yes,No,1997728
10/21/2015,Credit card,,Unsolicited issuance of credit card,,I have called and asked to be taken off their mailing list several times and a couple months later there is another credit card offer. Today XXXX/XXXX/2015 they sent another. How can I get them to stop. This has happened every 2 months for the last 3 years. thank you,,CAPITAL ONE FINANCIAL CORPORATION,MN,553XX,,Consent provided,Web,10/23/2015,Closed with explanation,Yes,No,1618314
4/17/2015,Consumer Loan,Installment loan,Managing the loan or lease,,,,PREFERRED CREDIT INC,FL,32435,"Older American, Servicemember",N/A,Phone,4/21/2015,Closed with explanation,Yes,No,1334793
7/30/2013,Student loan,Non-federal student loan,Repaying your loan,,,,SLM CORPORATION,UT,84115,,N/A,Web,7/31/2013,Closed with explanation,Yes,No,469745
7/24/2014,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"HireRight Solutions, Inc.",MI,48734,,N/A,Web,7/24/2014,Closed with explanation,Yes,No,951729
3/30/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,FL,33967,Servicemember,N/A,Referral,4/6/2012,Closed without relief,Yes,Yes,39318
4/29/2015,Consumer Loan,Vehicle loan,Managing the loan or lease,,"I have a vehicle loan with Santander Consumer. I 've been trying to pay this off by paying towards my principal. My XXXX/XXXX/2015 statement said the balance was {$8800.00} with a principal of {$8700.00}. On XXXX/XXXX/15 I made a monthly payment of {$470.00}. I called the company around XXXX/XXXX/15 to make it known that I would like to send in payments towards my principal. I explained this was n't possible online through the company 's website. I was advised that I had to make a payment XXXX then call in to make them aware the payment was to go to the principal only. On XXXX/XXXX/2015 I made a {$1000.00} payment towards my principal and called in as I was advised to do. The company applied so much towards the payment and the rest towards the interest. I kept calling in to have this corrected. The company kept saying it was being taken care of. My XXXX/XXXX/15 statement came and stated the balance was {$7500.00} and a principal of {$7400.00}. So on XXXX/XXXX/15 I made another payment of {$1000.00}. Same thing happened after calling in and making them aware the payment was for the principal only. Since then I paid my XXXX/XXXX/15 regular payment of {$500.00}, ( but the regular amount is {$470.00} ) on XXXX/XXXX/15. I called in on XXXX/XXXX/15 to do another principal only payment of XXXX. I called back to ask what was the balance before the principal and got a price of {$6000.00}. I asked how after I have made principal only payments and XXXX monthly payments. I believe my balance after the XXXX/XXXX/15 principal balance and the payments I have been making that this is TRULY and error. I keep getting the run around about this so I asking Consumer financial to follow through with this so I may be treated fairly and pay what I owe and not be cheated. I was informed that I ca n't get a number to the accounts department because the company only communicate via email.",,SANTANDER CONSUMER USA HOLDINGS INC.,FL,342XX,,Consent provided,Web,4/29/2015,Closed with explanation,Yes,Yes,1352624
,,,,,,,,,,,,,,,,,
5/1/2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,FL,33010,,Consent not provided,Web,5/1/2015,Closed with non-monetary relief,Yes,No,1355961
8/21/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,WELLS FARGO & COMPANY,FL,33173,,Consent not provided,Web,8/23/2015,Closed with explanation,Yes,No,1531429
4/3/2017,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,JPMORGAN CHASE & CO.,NY,11771,,Other,Web,4/4/2017,Closed with explanation,Yes,No,2415992
1/11/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,CA,90230,Older American,N/A,Web,1/11/2014,Closed with explanation,Yes,No,664615
4/3/2017,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,CAPITAL ONE FINANCIAL CORPORATION,NY,10301,,N/A,Referral,4/4/2017,Closed with explanation,Yes,No,2416676
9/29/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,WELLS FARGO & COMPANY,FL,33161,,N/A,Postal mail,10/3/2014,Closed with explanation,Yes,No,1049701
7/16/2014,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,"EQUIFAX, INC.",OH,44110,,N/A,Referral,8/5/2014,Closed with explanation,Yes,No,939929
8/14/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"Servis One, Inc.",CA,91791,,N/A,Referral,8/17/2012,Closed with explanation,Yes,No,135333
9/19/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,SANTANDER CONSUMER USA HOLDINGS INC.,TX,77396,,N/A,Web,9/20/2013,Closed with explanation,Yes,Yes,534792
,,,,,,,,,,,,,,,,,
10/10/2015,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",NY,11364,Servicemember,Consent not provided,Web,10/10/2015,Closed with explanation,Yes,No,1602246
12/5/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,CAPITAL ONE FINANCIAL CORPORATION,NJ,7304,,N/A,Referral,12/9/2013,Closed with explanation,Yes,Yes,623656
,,,,,,,,,,,,,,,,,
11/7/2015,Debt collection,Auto,Communication tactics,Frequent or repeated calls,"my car payment is due on the XXXX of the month. If it is not paid they call me every 30 to 45 minutes of every day until it is paid, and with every phone call they leave a message.",,United PanAm Financial Corp.,TX,782XX,,Consent provided,Web,11/7/2015,Closed with non-monetary relief,Yes,No,1645029
10/26/2015,Credit card,,Application processing delay,,,,SYNCHRONY FINANCIAL,NY,14086,Servicemember,N/A,Phone,10/26/2015,Closed with explanation,Yes,Yes,1624354
6/2/2012,Credit card,,Billing disputes,,,,AMERICAN EXPRESS COMPANY,,,,N/A,Postal mail,6/4/2012,Closed with non-monetary relief,Yes,No,91921
5/7/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94115,,N/A,Web,5/8/2013,Closed with explanation,Yes,No,401216
1/10/2016,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,ENCORE CAPITAL GROUP INC.,MO,63383,,Consent not provided,Web,2/9/2016,Closed with non-monetary relief,Yes,No,1735271
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4/10/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Statebridge Company,VA,20152,,N/A,Web,4/10/2014,Closed with explanation,No,No,802417
10/19/2016,Credit card,,Billing disputes,,"I have been with USAA for more than 10 years and had a XXXX with them in good standing for just as long. On XXXX XXXX 2016, a charge was fraudulently made on the XXXX and shortly after that, USAA stopped using XXXX and changed their card to XXXX. This balance from the XXXX was transferred onto the XXXX which replaced the XXXX, and I did n't find out until a couple months later that there was a balance on my new card ( which had never been activated by the way ). After making several 2 hour long phone calls to USAA regarding this, a security credit was issued to the old XXXX but was never transferred over to the XXXX. Therefore, it shows a balance on the XXXX for which USAA is holding me responsible despite several phone calls over the past 4 months to USAA to try and rectify this.",Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,FL,349XX,Servicemember,Consent provided,Web,10/19/2016,Closed with monetary relief,Yes,No,2165858
4/21/2013,Mortgage,VA mortgage,Credit decision / Underwriting,,,,WELLS FARGO & COMPANY,MI,48616,,N/A,Web,4/23/2013,Closed with explanation,Yes,No,387338
4/11/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,FL,33412,,N/A,Web,4/10/2014,Closed with explanation,Yes,No,804419
4/2/2014,Student loan,Non-federal student loan,Can't repay my loan,Can't temporarily postpone payments,,,JPMORGAN CHASE & CO.,PA,15108,,N/A,Web,4/2/2014,Closed with explanation,Yes,No,790878
7/17/2014,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,,,"GOLD KEY CREDIT, INC.",NY,11778,,N/A,Phone,7/22/2014,Closed with explanation,Yes,No,942168
11/8/2012,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,WELLS FARGO & COMPANY,IL,60628,,N/A,Web,11/9/2012,Closed with explanation,Yes,No,187619
3/12/2016,Credit reporting,,Incorrect information on credit report,Personal information,"Credit bureaus are reporting my former addresses as being ( 1 ). XXXX XXXX, XXXX, IN ( 2 ). XXXX XXXX, XXXX, IN I have lived at XXXX XXXX XXXX XXXX, XXXX, IN since 1994. and have never lived at the XXXX other addresses listed.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,IN,479XX,Older American,Consent provided,Web,3/12/2016,Closed with non-monetary relief,Yes,No,1829671
,,,,,,,,,,,,,,,,,
12/6/2015,Credit card,,Closing/Cancelling account,,,,JPMORGAN CHASE & CO.,CA,94403,,Consent not provided,Web,12/6/2015,Closed with non-monetary relief,Yes,No,1684909
4/15/2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,"Peaks private loans, I have never received any written correspondence from them ever. I was forced into this private loan through XXXX XXXX. The only way to see a balance is from their grossly outdated website and charge extra for any little thing. I will not allow this company to ever have access to my bank account in the form of an auto payment. Avoid Avoid Avoid!",Company disputes the facts presented in the complaint,First Associates Loan Servicing LLC,KY,410XX,,Consent provided,Web,4/16/2015,Closed with explanation,Yes,No,1330467
11/27/2013,Mortgage,Other mortgage,Other,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92618,,N/A,Referral,11/29/2013,Closed with explanation,Yes,No,615484
5/2/2016,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,PNC Bank N.A.,PA,19403,,N/A,Referral,5/5/2016,Closed with explanation,Yes,No,1905512
3/21/2017,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,"I have been trying to obtain a car loan for almost 4 months. The car loan company pulls Equifax. When they pulled my Equifax report, the finance manager said my score was XXXX and I had not XXXX open account on my Equifax report. I called Equifax 7 times and after sending my ssc card and picture Id. Equifax told me I have too many accounts and that there were XXXX partisans to my report. XXXX with a lot of accounts and XXXX that apparently the car dealerships were seeing. Equifax took not fault to this and said the creditors need to report better, there was nothing they could do. Well, I have called all the creditors and they have been reporting to Equifax. All the creditors said they are reporting to XXXX bureaus. I have noticed from alerts and services I am currently enrolled in with XXXX and XXXX, that they ARE getting the creditor info and doing their job by reporting it. EQUIFAX IS NOT!! Equifax is not fixing this, so I called once more and still NOTHING.I would appreciate you doing anything you can to get this mix up straight. All I want is for Equifax to do their job. It is that simple",,"EQUIFAX, INC.",VA,229XX,,Consent provided,Web,3/21/2017,Closed with explanation,Yes,Yes,2397144
,,,,,,,,,,,,,,,,,
9/28/2013,Credit card,,Late fee,,,,AMERICAN EXPRESS COMPANY,MD,20850,,N/A,Web,9/28/2013,Closed with monetary relief,Yes,No,546544
1/24/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,PNC Bank N.A.,KY,40219,,N/A,Web,1/24/2013,Closed with explanation,Yes,No,257869
6/26/2015,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,,Company disputes the facts presented in the complaint,SCV Inc.,CA,94124,,Consent not provided,Web,6/26/2015,Closed with explanation,Yes,No,1439408
8/9/2013,Credit card,,Credit card protection / Debt protection,,,,CAPITAL ONE FINANCIAL CORPORATION,OR,97383,,N/A,Web,8/9/2013,Closed with monetary relief,Yes,No,485271
5/24/2012,Credit card,,Billing disputes,,,,WELLS FARGO & COMPANY,CA,92128,,N/A,Web,5/24/2012,Closed with explanation,Yes,No,87000
4/5/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,Company believes it acted appropriately as authorized by contract or law,"Blakely-Witt and Associates, Inc.",TX,77078,,Consent not provided,Web,4/5/2017,Closed with explanation,Yes,No,2419538
